Gene	Set	Cluster	Annotation
TNFSF13	E	E	E
TOB1	E	E	E
TOM1L1	E	E	E
TPD52	E	E	E
TRPM4	E	E	E
TSPAN1	E	E	E
TSPAN13	E	E	E
TSPAN15	E	E	E
TTC39A	E	E	E
TUBB6	E	E	M
TUFT1	E	E	E
UCHL1	E	E	M
UGT1A1	E	E	E
VAMP8	E	E	E
VAV3	E	E	E
VGLL1	E	E	E
XBP1	E	E	E
ZNF165	E	E	E
AKAP2	M	M1	M
AKT3	M	M1	M
ANGPTL2	M	M1	M
AP1S2	M	M1	M
ARHGAP32	M	M1	E
ATP1B1	M	M1	E
CALD1	M	M1	M
CCL2	M	M1	M
CD163	M	M1	M
CDH11	M	M1	M
CDK14	M	M1	M
CEACAM7	M	M1	E
CHN1	M	M1	M
CHRDL1	M	M1	M
CLDN3	M	M1	E
CLIC4	M	M1	M
COL15A1	M	M1	M
COL6A1	M	M1	M
COL6A2	M	M1	M
COLEC12	M	M1	M
CRYAB	M	M1	M
CTSK	M	M1	M
CXCL12	M	M1	M
CXCL13	M	M1	M
CXCR4	M	M1	M
CYB561	M	M1	E
DDR2	M	M1	M
DENND5A	M	M1	M
DPT	M	M1	M
DSE	M	M1	M
ECM2	M	M1	M
EFEMP2	M	M1	M
ELF5	M	M1	E
ENPP2	M	M1	M
F13A1	M	M1	M
FAM174B	M	M1	E
FAP	M	M1	M
FBP1	M	M1	E
FGL2	M	M1	M
FHL1	M	M1	M
FLRT2	M	M1	M
GEM	M	M1	M
GFPT2	M	M1	M
GIMAP4	M	M1	M
GREM1	M	M1	M
GSC	M	M1	M
GUCY1B3	M	M1	M
GZMK	M	M1	M
IGF1	M	M1	M
IL10RA	M	M1	M
ITGB6	M	M1	E
ITM2A	M	M1	M
JAM2	M	M1	M
JAM3	M	M1	M
KCNJ8	M	M1	M
KDELC1	M	M1	M
KIAA1462	M	M1	M
KRT8	M	M1	E
LEPRE1	M	M1	M
LGALS1	M	M1	M
LHFP	M	M1	M
MAP1B	M	M1	M
MEOX2	M	M1	M
MLPH	M	M1	E
MSN	M	M1	M
MXRA7	M	M1	M
MYH14	M	M1	E
MYL9	M	M1	M
NAP1L3	M	M1	M
NUAK1	M	M1	M
OLFML2B	M	M1	M
PCOLCE	M	M1	M
PDZRN3	M	M1	M
PLEKHO1	M	M1	M
PLN	M	M1	M
PMP22	M	M1	M
POPDC3	M	M1	M
PTGIS	M	M1	M
RARRES2	M	M1	M
RECK	M	M1	M
SACS	M	M1	M
SDC2	M	M1	M
SERPINE1	M	M1	M
SERPINF1	M	M1	M
SFRP4	M	M1	M
SH2B3	M	M1	M
SNAI1	M	M1	M
SPARC	M	M1	M
SRPX	M	M1	M
STON1	M	M1	M
SYNE1	M	M1	M
SYT11	M	M1	M
TAGLN	M	M1	M
TFF3	M	M1	E
TGFB1I1	M	M1	M
TMEFF1	M	M1	M
TMPRSS2	M	M1	E
TNC	M	M1	M
TNS1	M	M1	M
TOX3	M	M1	E
TPM2	M	M1	M
TRPC1	M	M1	M
TSPAN8	M	M1	E
TUBA1A	M	M1	M
VCAM1	M	M1	M
VSIG4	M	M1	M
WIPF1	M	M1	M
WWTR1	M	M1	M
BICC1	M	M2	M
BNC2	M	M2	M
C1R	M	M2	M
C1S	M	M2	M
CDH2	M	M2	M
CEP170	M	M2	M
COL5A2	M	M2	M
DCN	M	M2	M
EMP3	M	M2	M
FBN1	M	M2	M
FN1	M	M2	M
FSTL1	M	M2	M
FYN	M	M2	M
GJA1	M	M2	M
HEG1	M	M2	M
IGFBP5	M	M2	M
LOX	M	M2	M
MAF	M	M2	M
MMP2	M	M2	M
MOXD1	M	M2	M
MPDZ	M	M2	M
NR3C1	M	M2	M
OLFML3	M	M2	M
PDGFC	M	M2	M
PLXNB2	M	M2	E
PTGDS	M	M2	M
PTX3	M	M2	M
RGS2	M	M2	M
RUNX1T1	M	M2	M
SAMSN1	M	M2	M
SNAI2	M	M2	M
SOAT1	M	M2	M
SPOCK1	M	M2	M
SYNM	M	M2	M
TCF4	M	M2	M
VCAN	M	M2	M
VIM	M	M2	M
ZEB1	M	M2	M
ZEB2	M	M2	M
ZFPM2	M	M2	M
AKAP12	M	M3	M
ASPN	M	M3	M
AXL	M	M3	M
BGN	M	M3	M
CCL8	M	M3	M
CYP1B1	M	M3	M
EFEMP1	M	M3	M
EVI2A	M	M3	M
FBLN1	M	M3	M
FERMT2	M	M3	M
FOXC2	M	M3	E
FXYD6	M	M3	M
GAS1	M	M3	M
GLIPR1	M	M3	M
GLYR1	M	M3	M
GNG11	M	M3	M
GPM6B	M	M3	M
HNMT	M	M3	E
ISLR	M	M3	M
MAFB	M	M3	M
MANSC1	M	M3	E
MFAP4	M	M3	M
MYLK	M	M3	M
PLXNC1	M	M3	M
PTRF	M	M3	M
QKI	M	M3	M
SERPING1	M	M3	M
SOBP	M	M3	M
SPARCL1	M	M3	M
SRGN	M	M3	M
TMEM158	M	M3	M
TRIM31	M	M3	E
TWIST1	M	M3	M
TWIST2	M	M3	M
ZCCHC24	M	M3	M
BAG2	M	OtherM	M
MS4A4A	M	OtherM	M
MS4A6A	M	OtherM	M
